Company,Total Complaints,Average Severity
The Phoenix Recovery Group,297,1.1043771043771045
"Advanced Collection Bureau, Inc.",296,1.0067567567567568
CNG HOLDINGS INC,296,1.0168918918918919
Sequoia Financial Services,296,1.0202702702702702
"BANKUNITED, NATIONAL ASSOCIATION",296,1.152027027027027
"Gurstel Law Firm, P.C.",295,1.064406779661017
"CULLEN/FROST BANKERS, INC.",294,1.129251700680272
"Merchants and Professional Bureau, Inc.",293,1.006825938566553
TFS FINANCIAL CORPORATION,293,1.0136518771331058
HIGHER EDUCATION STUDENT ASSISTANCE AUTHORITY (HESAA),291,1.0859106529209621
ASTORIA BANK,290,1.2206896551724138
Collection Consultants of California,289,1.0242214532871972
"Select Management Resources, LLC",289,1.8096885813148789
"Revco Management, LLC",288,1.9930555555555556
"GULF COAST COLLECTION BUREAU, INC.",286,1.06993006993007
E*TRADE BANK,285,1.2666666666666666
Prince Parker & Associates,284,1.028169014084507
Diverse Funding Associates LLC,283,1.017667844522968
"Mandarich Law Group, LLP",282,1.0212765957446808
"Better Mortgage, Inc.",281,1.0462633451957295
"Meridian Financial Services, Inc.",281,1.0569395017793595
"PLAZA HOME MORTGAGE, INC.",281,1.103202846975089
Fairway Independent Mortgage Corporation,280,1.1464285714285714
"Fidelity National Financial, Inc",279,1.028673835125448
"Crown Asset Management, LLC, Duluth, GA Branch",278,1.079136690647482
"Law Office of Michael J. Scott, PC",277,1.0036101083032491
SinglePoint GI,276,1.0036231884057971
"Transfinancial Companies, Inc",276,1.0543478260869565
"Professional Credit Management, Inc",276,1.3731884057971016
"Credit Bureau Collection Services, Inc.",276,1.8768115942028984
"GOLD KEY CREDIT, INC.",274,1.7007299270072993
"U.S. Collections West, Inc.",273,1.0366300366300367
CARD Corporation,273,1.2564102564102564
Alliant Capital Management LLC,271,1.003690036900369
BYL Collection Services,269,1.003717472118959
Forster & Garbus LLP,268,1.0335820895522387
FULTON FINANCIAL CORPORATION,268,1.1865671641791045
"Financial Recovery Services, Inc.",267,1.0711610486891385
"Remex, Inc.",266,1.0037593984962405
Receivables Management Corporation,265,1.0037735849056604
"A.R.M. Solutions, Inc.",265,1.0113207547169811
Grant Mercantile Agency,265,1.0943396226415094
Holloway Credit Solutions,265,1.1358490566037736
Atlantic Recovery Solutions LLC,263,1.0076045627376427
"National Collection Systems, Inc.",262,1.0305343511450382
XOOM CORPORATION,262,1.3015267175572518
"Credit Central Holdings, LLC",261,1.0076628352490422
"MERCHANTS ADJUSTMENT SERVICE, INC.",259,1.0038610038610039
Rosebud Economic Development Corporation,256,1.1171875
FIRST HORIZON BANK - WEST CONGRESS STREET BRANCH,256,1.13671875
"Atlantic Credit & Finance, Inc.",256,1.74609375
Ascendium Education Group,255,1.0
"Tribal Lending Enterprise, Inc.",255,1.003921568627451
"Dyck-O'Neal, Inc.",254,1.0196850393700787
"Herbert P. Sears Co., Inc.",254,1.0590551181102361
"Rausch, Sturm, Israel, Enerson & Hornik, LLP",253,1.0
"National Consumer Telecom & Utilities Exchange, Inc.",252,1.0357142857142858
Utah System of Higher Education,251,1.0717131474103585
TRUSTMARK CORPORATION,250,1.02
"D&A Services, LLC",250,1.044
Clark County Collection Service,248,1.0403225806451613
"American Accounts & Advisers, Inc.",248,1.0483870967741935
Hunt & Henriques,248,1.0564516129032258
Telsa Motors Inc,247,1.008097165991903
"Sentry Credit, Inc.",247,1.0364372469635628
Alpha Recovery Corp,246,1.329268292682927
Franklin Credit Management Corporation,245,1.0163265306122449
"Collection Management Holdings, LLC",244,1.0040983606557377
Messerli & Kramer P.A.,244,1.0655737704918034
FINANCIAL ASSET MANAGEMENT SYSTEMS INC,242,1.1115702479338843
BANK OF HAWAII CORPORATION,242,1.3181818181818181
"P.S.C., Inc",241,1.004149377593361
Yamaha Motor Finance Corporation USA,241,1.008298755186722
Westcreek Financial,241,1.1244813278008299
"Receivable Management Group, Inc. (GA)",240,1.0083333333333333
"Express Recovery Services, Inc.",240,1.2125
Patient Accounting Service Center,238,1.0168067226890756
"P&B Capital Group, LLC",237,1.2236286919831223
"HireRight Solutions, Inc.",236,1.0
"N.A.R., Inc.",236,1.0042372881355932
Account Resolution Corporation,236,1.021186440677966
RANDOLPH-BROOKS FEDERAL CREDIT UNION,236,1.1016949152542372
Siggi LLC,234,1.0085470085470085
"Cascade Capital, LLC",234,1.0427350427350428
"Delta Management Associates, Inc.",233,1.0
Park Hill Holdings,233,1.0
Tate and Kirlin Assoc,233,1.0085836909871244
WASHINGTON FEDERAL BANK,233,1.0987124463519313
FRANKLIN AMERICAN MORTGAGE CO.,233,1.1201716738197425
Solidus Group LLC.,233,1.2746781115879828
"Medical Society Business Services, Inc.",233,1.4248927038626609
"Credit Management Control, Inc.",231,1.12987012987013
JPay Inc.,231,1.3116883116883118
Cooling & Winter LLC,230,1.0
"Enhanced Acquisitions, LLC",230,1.0565217391304347
Cadence Bank,229,1.1790393013100438
"Ideal Collection Services, Inc.",228,1.0087719298245614
Nelson Cruz & Associates LLC,228,1.0833333333333333
Premier Student Loan Center,228,1.7280701754385965
"Veros Credit, LLC",226,1.0265486725663717
"Machol & Johannes, LLC",226,1.0309734513274336
Senex Services Corp.,226,1.0973451327433628
"BANKMOBILE TECHNOLOGIES, INC",226,1.1106194690265487
"Professional Placement Services, LLC",225,1.0
Texas Guaranteed,225,1.04
"Applied Data Finance, LLC",224,1.0089285714285714
Nicholas Financial Inc.,224,1.0357142857142858
"Complete Credit Solutions, Inc.",223,1.0089686098654709
"Receivable Solutions, Inc.",223,1.0089686098654709
"Seattle Service Bureau, Inc",223,1.1210762331838564
"Phillips & Cohen Associates, Ltd.",223,1.2825112107623318
"Sortis Financial, Inc.",222,1.0810810810810811
"Frederick J. Hanna & Associates, P.C. (closed)",221,1.0995475113122173
GATEWAY FIRST BANK,221,1.1040723981900453
"Meade & Associates, Inc.",221,1.2805429864253393
UNIVERSAL ACCEPTANCE CORPORATION (NE),221,1.3846153846153846
"Progressive Financial Services, Inc.",220,1.0
"Allied International Credit Corp., (US)",220,1.0227272727272727
"FIRST HAWAIIAN, INC.",220,1.0772727272727274
"Selip & Stylianou, LLP",220,1.1227272727272728
United Student Aid (USA) Funds,220,1.240909090909091
Van Ru Credit Corporation,220,1.709090909090909
Verisk Analytics Inc,219,1.0136986301369864
Kashia Services,218,1.0091743119266054
DataMax Corporation,218,1.0321100917431192
"RGS Financial, Inc.",218,1.110091743119266
"CREDIT BUREAU OF NAPA COUNTY, INC.",218,1.151376146788991
Commercial Recovery Systems,218,1.889908256880734
PRIMARY RESIDENTIAL MORTGAGE,217,1.1013824884792627
FIRSTBANK,217,1.3640552995391706
Ameritech Financial,217,1.6912442396313363
Immediate Credit Recovery,215,1.0
Consumer Collection Management. Inc,215,1.0046511627906978
Viking Client Services,215,1.0558139534883721
PARAMOUNT RESIDENTIAL MORTGAGE GROUP,215,1.1767441860465115
"Vital Solutions, Inc.",213,1.0093896713615023
"Uplift, Inc",212,1.009433962264151
"GLOBAL CLIENT SOLUTIONS, LLC",212,1.028301886792453
U.S. Auto Sales Inc.,212,1.028301886792453
Finance of America Holdings LLC,212,1.0471698113207548
Knight Adjustment Bureau,211,1.028436018957346
Gatestone & Co. International Inc.,211,1.8151658767772512
"Stenger & Stenger, P.C",210,1.0
"Receivable Recovery Services, LLC",210,1.0285714285714285
"Mid-Atlantic Finance Co., Inc.",210,1.0571428571428572
Solar Mosaic LLC,210,1.0666666666666667
FIRST AMERICAN FINANCIAL CORPORATION,209,1.0
MidAmerica Mortgage Inc,209,1.0430622009569377
Integrated Recovery Services,209,1.0813397129186604
Western-Shamrock Corporation,209,1.1291866028708133
Stellantis Financial Services US Corp.,209,1.1339712918660287
USCB Corporation,208,1.0048076923076923
STERLING BANCORP,208,1.0625
LANIER COLLECTIONS AGENCY AND SERVICES INC,207,1.0096618357487923
"Collins & Hilton Asset Group, LLC",207,1.0531400966183575
"PRIMELENDING, A PLAINSCAPITAL COMPANY",207,1.077294685990338
SIMMONS FIRST NATIONAL CORPORATION,207,1.1400966183574879
Green Square Company LLC.,207,1.7246376811594204
Turning Point Solutions LLC,206,1.6213592233009708
"PROSPERITY BANCSHARES, INC.",205,1.1658536585365853
DFC Global Corp.,205,1.2682926829268293
Southern Auto Finance Co,204,1.0784313725490196
"PDQ Services, Inc.",204,1.1813725490196079
"Kansas Counselors, Inc.",202,1.198019801980198
"Collection Bureau of Fort Walton Beach, Inc",201,1.0
"Credit Technologies, Inc.",201,1.0
Novad Management Consulting LLC,199,1.0
SCOTTRADE BANK,199,1.8391959798994975
"Financial Management Solutions, LLC",198,1.0
"Omega RMS, LLC",198,1.0151515151515151
LendUp Loans LLC,198,1.095959595959596
INVESTORS BANK,198,1.1616161616161615
Revenue Recovery Corporation,198,1.2373737373737375
"Solomon and Solomon, P.C.",198,1.2474747474747474
"Rozlin Financial Group, Inc.",197,1.0406091370558375
Oracle Financial Group LLC.,197,1.7715736040609138
"F.H. Cann & Associates, Inc.",196,1.0357142857142858
MOUNTAIN AMERICA FEDERAL CREDIT UNION,196,1.2755102040816326
Commercial Acceptance Company,195,1.0102564102564102
"Key 2 Recovery, Inc.",195,1.0102564102564102
Oliver Adjustment Co.,195,1.0615384615384615
"International Computer Systems, Inc.",194,1.0154639175257731
Profit Services Group,194,1.0309278350515463
CAC Financial Corp,194,1.2628865979381443
"BC SERVICES, INC.",194,1.2989690721649485
Rausch Sturm LLP,193,1.0
"Maury Cobb, Attorney at Law, LLC",193,1.1398963730569949
Accurate Background,193,1.4663212435233162
"Media Collections, Inc",193,1.9844559585492227
"Healthcare Collections-I, LLC",192,1.0052083333333333
"Elevate Recoveries, LLC",191,1.0
"Valentine and Kebartas, Inc.",191,1.0052356020942408
"Arcadia Holdings, LLC",191,1.0104712041884816
"Professional Medical Management, Inc.",191,1.9371727748691099
"Kinum, Inc., Indianapolis, IN Branch",190,1.0
ASTA FUNDING INC.,190,1.0210526315789474
ALCHRO INC.,189,1.1851851851851851
"AMERICAN ADJUSTMENT BUREAU,INC.",188,1.0053191489361701
"RSI Enterprises, Inc.",188,1.25
United Consumers Inc,187,1.0
BlockFi Inc,187,1.032085561497326
"American Profit Recovery, Inc., Marlborough, MA Branch",187,1.053475935828877
"Accelerated Financial Solutions, LLC",187,1.5080213903743316
"VIRTUOSO SOURCING GROUP, LLC.",186,1.5
"Automated Collection Services, Inc.",185,1.0
CONGRESS COLLECTION CORP,184,1.0
Ceannate,184,1.0
"Credit Bureau Systems, Inc., Paducah, KY Branch",184,1.0706521739130435
"FIRST MIDWEST BANCORP, INC.",184,1.2826086956521738
Payward Ventures Inc. dba Kraken,183,1.0
Waterfall Revenue Group,183,1.010928961748634
"Glasser and Glasser, PLC",183,1.0546448087431695
American Financial Network Inc.,183,1.1256830601092895
"EZCORP, INC.",183,1.2459016393442623
Premium Credit Bureau,182,1.021978021978022
2288984 Ontario Inc.,182,1.0604395604395604
"Palm Beach Credit Adjustors, Inc",181,1.0165745856353592
"Brock & Scott, PLLC",181,1.0331491712707181
Great American Finance Co,181,1.0718232044198894
"Kelsting Group, Inc.",181,1.2375690607734806
MiraMed Revenue Group LLC,180,1.011111111111111
Chrysalis Holdings LLC,180,1.0666666666666667
"Aspen National Financial, Inc.",180,1.7166666666666666
Oklahoma Student Loan Authority,179,1.005586592178771
"Affiliate Asset Solutions, LLC",179,1.0335195530726258
"Rubin & Rothman, LLC",179,1.2122905027932962
"KLS Financial Services, Inc",178,1.0112359550561798
Louisiana Recovery Services Inc.,178,1.0168539325842696
C/C Financial,177,1.0
"COLLECTION SERVICES OF ATHENS, INC.",177,1.0056497175141244
Sarma,177,1.0112994350282485
MIDCOUNTRY FINANCIAL CORP,177,1.0338983050847457
"Community Health Investment Company, LLC.",177,1.1864406779661016
"Central States Recovery, Inc.",177,1.192090395480226
CITY NATIONAL BANK,176,1.1363636363636365
Revenue Assistance Corporation dba Revenue Group,175,1.022857142857143
Telerecovery Corporation,175,1.04
FIRST HERITAGE CREDIT LLC,175,1.3314285714285714
"PLS GROUP, INC",175,1.497142857142857
"Nationwide Credit & Collection, Inc.",174,1.0
"Capstone Credit & Collection, LLC.",174,1.0057471264367817
"FMA Alliance, Ltd.",174,1.0229885057471264
"Sentry Recovery and Collections, Inc.",174,1.0229885057471264
AUTOMOTIVE CREDIT CORPORATION,174,1.028735632183908
Johnson Mark LLC,174,1.0689655172413792
WorldRemit Corp.,174,1.0689655172413792
LAND HOME FINANCIAL SERVICES,174,1.0919540229885059
"Admin Recovery, LLC",173,1.0404624277456647
"American Financial Resources, Inc.",173,1.0520231213872833
RJM ACQUISITION LLC,173,1.0578034682080926
"IMPAC MORTGAGE HOLDINGS, INC.",173,1.1271676300578035
"MB FINANCIAL, INC.",173,1.2427745664739884
FRESNO CREDIT BUREAU,172,1.005813953488372
"Auto Trakk, LLC",172,1.0232558139534884
"Braviant Holdings, LLC",172,1.0348837209302326
Cornerstone Home Lending Inc.,172,1.058139534883721
"OLIPHANT FINANCIAL, LLC",171,1.0
SOUTHSTATE CORPORATION,171,1.0994152046783625
PREFERRED CREDIT INC,170,1.0058823529411764
"Service Finance Holdings, LLC",170,1.223529411764706
Scott Fetzer Financial Group Inc.,170,1.2294117647058824
"The Thomas Agency, Inc.",170,1.4941176470588236
"Advantage Credit, Inc.",169,1.0
"Consolidated Information Services Solutions, LLC",169,1.0
"Javitch, Block & Rathbone LLC",169,1.0
"Smith, Rouchon & Associates, Inc.",169,1.0118343195266273
"Thunderbird Collection Specialists, Inc.",169,1.0118343195266273
Unlimited Progress Corp,169,1.0414201183431953
"Skopos Financial, LLC",168,1.0119047619047619
Concord Servicing Corporation,168,1.130952380952381
D. SCOTT CARRUTHERS,168,1.4523809523809523
"Americas Car-Mart, Inc.",167,1.0179640718562875
"Credit Collections U.S.A., L.L.C.",167,1.2994011976047903
"Suttell, Hammer & White, P.S",166,1.0
"Integrity Solution Services, Inc.",166,1.0120481927710843
SANTANDER BANCORP,165,1.0424242424242425
"Worldwide Processing Group, LLC",164,1.3109756097560976
"Credit Service Company, INC",163,1.0
North American Credit Services,163,1.0
IOWA STUDENT LOAN LIQUIDITY CORPORATION,163,1.01840490797546
"Alliance Collection Agencies, Inc.",162,1.0185185185185186
"SERVICEMAC, LLC",162,1.0493827160493827
"Innovate Managed Holdings, LLC",162,1.0617283950617284
"Sa-Vit Enterprises, Inc.",161,1.0124223602484472
"Volvo Car Financial Services U.S., LLC",161,1.0248447204968945
FIRST REPUBLIC BANK,160,1.05
"Wilber and Associates, P.C.",158,1.0063291139240507
"Blakely-Witt and Associates, Inc.",158,1.0253164556962024
Idaho Housing And Finance Association,158,1.0253164556962024
The J. G. Wentworth Company,158,1.1012658227848102
Suburban Credit Corporation,158,1.2721518987341771
BANK OZK,157,1.0127388535031847
"Collections Acquisition Company, Inc.",157,1.070063694267516
"APPLE FINANCIAL HOLDINGS, INC.",157,1.1719745222929936
Finance of America Mortgage LLC,157,1.2802547770700636
STONEGATE MORTGAGE CORPORATION,157,1.605095541401274
"WINN LAW GROUP, APC",156,1.0
"Skrill USA, Inc.",156,1.0384615384615385
Renton Collections Inc.,156,1.0512820512820513
"STONELEIGH RECOVERY ASSOCIATES, LLC",156,1.6730769230769231
"Professional Adjustment Corp. of S.W. FL., Inc.",155,1.0
Nationwide Credit Corporation,155,1.0064516129032257
"Eagle Accounts Group, Inc.",155,1.0193548387096774
"EVERGREEN PROFESSIONAL RECOVERIES, INC.",155,1.032258064516129
"GMA Investments, LLC",155,1.2774193548387096
"Nevada Credico, Inc.",154,1.0194805194805194
Financial Corporation of America,154,1.0389610389610389
Academy Mortgage Corporation,154,1.2337662337662338
"APEX Asset Management, LLC",153,1.0196078431372548
"Williams, Rush & Associates, LLC",153,1.1176470588235294
SECURITY CREDIT SYSTEMS INC,152,1.0460526315789473
CIG FINANCIAL LLC,152,1.0723684210526316
"UNITED BANKSHARES, INC.",152,1.1842105263157894
Financial Assistance Inc,151,1.033112582781457
"Lewis, McDonnell & Associates",151,1.033112582781457
Sezzle Inc.,151,1.033112582781457
AMERICAN INTERNET MORTGAGE,151,1.1390728476821192
"Rent Recover, LLC",151,1.5629139072847682
"Aldridge Pite, LLP",150,1.0
Massachusetts Educational Financing Authority,150,1.0
Southwest Business Corporation,150,1.0333333333333334
"CUSTOMERS BANCORP, INC",150,1.06
"PINNACLE RECOVERY, INC.",150,1.0933333333333333
"McCalla Raymer Leibert Pierce, LLC",149,1.0
"Bepensa Capital, Inc.",149,1.0134228187919463
Alabama Housing Finance Authority,149,1.0335570469798658
D2 Management LLC,149,1.1140939597315436
"National Recoveries, Inc.",149,1.174496644295302
"Oxford Law, LLC",149,1.7248322147651007
"Arnold Scott Harris, P.C.",148,1.0
"R.A.Rogers, Inc.",148,1.0202702702702702
ZARVAD III S.A.,148,1.0202702702702702
"Paradigm Assets, LLC",147,1.0
"Account Discovery Systems, LLC",147,1.0408163265306123
"ARC Management Group, LLC",147,1.0748299319727892
"National Principal Group, LLC",146,1.0205479452054795
Informative Research,145,1.0
KINGS CREDIT SERVICES,145,1.0
Kingston Data & Credit International Inc.,145,1.0
"BCA Financial Services, Inc.",145,1.006896551724138
"S&S Physician Services, Inc.",145,1.0206896551724138
"FIRST INTERSTATE BANCSYSTEM, INC.",145,1.0827586206896551
NORTHWEST BANCSHARES INC,145,1.1448275862068966
"The Regional Adjustment Bureau, Incorporated",145,1.7379310344827585
"RMS-Recovery Management Services, Inc.",144,1.0
Kentucky Higher Education Assistance Authority,144,1.0208333333333333
Continental Credit Control,144,1.0555555555555556
DHI Mortgage Company,144,1.25
Credit Bureau Services Association,143,1.006993006993007
"Optio Solutions, LLC",143,1.027972027972028
Hollis Cobb Associates,143,1.055944055944056
"Applied Business Services, Inc.",143,1.118881118881119
ACCESS GROUP INC.,142,1.0070422535211268
"Lennar Financial Services, LLC",142,1.0492957746478873
High Point Asset Inc,142,1.1830985915492958
EMBRACE HOME LOANS,142,1.4154929577464788
"Happy Money, Inc.",141,1.0
"M.A.R.S., Inc.",141,1.0070921985815602
"Nationwide Biweekly Administration, Inc.",141,1.0283687943262412
"NATIONS DIRECT MORTGAGE, LLC",141,1.0425531914893618
ADIR INTERNATIONAL LLC,141,1.2340425531914894
"Ascension Point Recovery Services, LLC",141,1.446808510638298
Nations Recovery Center,141,1.9432624113475176
CREDIGY USA CORP.,140,1.0071428571428571
FMS Inc.,140,1.0571428571428572
AmeriCash Holding LLC,140,1.1357142857142857
"Investment Retrievers, Inc.",139,1.0071942446043165
National Business Factors,139,1.014388489208633
Supreme Lending,139,1.1366906474820144
QC HOLDINGS INC,139,1.1870503597122302
"Overton, Russell, Doerr and Donovan, LLP",139,1.1942446043165467
"EMCC Holdings, LLC",138,1.0289855072463767
NELSON AND KENNARD,137,1.0218978102189782
"Stuart-Lippman and Associates, Inc",137,1.0218978102189782
Deutsche Bank,137,1.102189781021898
Revolut Technologies Inc.,137,1.1094890510948905
Terrill Outsourcing Group,137,1.1167883211678833
SIERRA PACIFIC MORTGAGE,137,1.1313868613138687
"Glass Mountain Capital, LLC",136,1.0147058823529411
"CASH AMERICA INTERNATIONAL, INC.",136,1.0808823529411764
Crow Creek Sioux Tribe,136,1.1029411764705883
NEW YORK STATE HIGHER EDUCATION SERVICES CORPORATION (HESC)—,136,1.1470588235294117
